OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
669,Mallow,O'Brien Street,Health Centre,,O'Brien Street,Mallow,Co. Cork.,,,-8.64250404618391,52.1366046081546,
670,Mallow,Solas Nua,Health Centre,,Solas Nua Residential Home,Mallow,Co. Cork.,,,-8.64130370652149,52.1450498623539,
671,Mallow,12 Fair Street,Health Centre,,12/14 Fair Street Lower,Mallow,Co. Cork.,,,-8.64393748878111,52.1373565624505,
672,Mallow,20 West End,Health Centre,,20 West End,Mallow,Co. Cork.,,,-8.64837576546096,52.1378328804808,
673,Manorcunningham Health Centre,Manorcunningham,Health Centre,,Manorcunningham Community Resource Centre,Manorcunningham,Co. Donegal,,F92 W727,-7.62230035327534,54.9541689551062,
674,Manorhamilton Health Centre,,Health Centre,NULL,New Line,Manorhamilton,Co. Leitrim,,F91 CA34,-8.17520036890962,54.3055584742418,
675,"Marian Park, 39 - PCC",,Health Centre,NULL,39 Marian Park,Buncrana,Co. Donegal,,F93 FX68,-7.44984326186041,55.1347995377355,
676,Marino Health Centre,Marino,Health Centre,,1a Griffith Lawns,Griffith Avenue,Dublin 9,,D09 A0X7,-6.26038856209096,53.3769322444531,
677,Market Square PCC,,Health Centre,NULL,Mallow Health Centre,William O'brien Street,Mallow,Co. Cork,P51 T298,-8.64241040310375,52.1371564504805,
678,Market Street,Market Street,Health Centre,,Market Street,Dundalk,Co. Louth.,,,-6.40005569575468,54.0055183731606,
679,Markievicz House Community Care,,Health Centre,NULL,Barrack Street,Sligo,,,F91 Y8EK,-8.47491839458726,54.2768656617895,
680,Marley,Marley,Health Centre,,Marley,Graiguenamanagh,Co. Kilkenny,,,-6.90388307674901,52.5205048759834,
681,Mary Mercer Centre,Mary Mercer,Health Centre,,Fortunestown Road,Dublin 24,,,D24 K854,-6.40023059235061,53.2786640685462,
682,Materials Management Supplies Department,,Health Centre,NULL,Quartertown Industrial Estate,Mallow,Co. Cork,,P51 PKD3,-8.66487699078017,52.12570495927,
683,"Mayfield Health Centre, ",Mayfield,Health Centre,,Old Youghal Road,Mayfield,Cork,,T23 EH48,-8.44179750377356,51.911794882902,
684,Maynooth,Maynooth,Health Centre,,Leinster Street,Maynooth,Co. Kildare,,W23 HC97,-6.59154438787943,53.3791803021508,
685,"Meath Hospital, Dental Unit",,Health Centre,NULL,The Meath Primary Care Centre,Heytesbury Street,Dublin 8,,D08 HX97,-6.26976448532384,53.3360640469085,
686,Meelin,Meelin,Health Centre,,Knockduff Upper,Newmarket,Co. Cork,,,-9.03266791587549,52.2487510605051,
687,Merlin Park University Hospital Campus,,Health Centre,NULL,Merlin Park University Hospital,Galway,,,H91 N973,-8.99319867676301,53.2774188965951,
688,Mervue Health Centre,Mervue,Health Centre,,Michael Collins Road,Mervue,Galway,,H91 T6Y3,-9.01629182318043,53.281157623393,
689,Midland Regional Hospital Mullingar,,Health Centre,NULL,Regional Hospital Mullingar,Longford Road,Mullingar,Co. Westmeath,N91 NA43,-7.34911671774761,53.534176346679,
690,Midleton ,,Health Centre,NULL,Health Centre,HSE,Midleton Community Hospital,Midleton,Co. Cork,-8.17178061018373,51.9175513737119,
691,Midleton Fever Hospital and Dispensary,,Health Centre,NULL,Midleton Community Hospital,The Green,Midleton,Co. Cork,P25 NR40,-8.17157149047042,51.9182170802283,
692,Milford,Milford,Health Centre,,Kyle House,Kyle,Co. Cork,,,-8.86012855315358,52.324900542175,
693,Milford ,Milford Health Centre,Health Centre,,Castletroy,Co. Limerick,,,,-8.57370931719777,52.6707955354794,
694,Milford Primary Care  Centre,Milford,Health Centre,,Milford Health Centre,Main Street,Milford,Co. Donegal,F92 P7YE,-7.69725142554978,55.0868775159186,
695,"Millenium Court, Unit 4",,Health Centre,NULL,Millennium Court,Foxhole,Youghal,Co. Cork,P36 P840,-7.86352042362104,51.9716008926853,
696,"Millmount Avenue Health Centre, ",Millmount,Health Centre,,Millmount Avenue,Dublin 9,,,D09 WD88,-6.25858585711478,53.3697568340567,
697,Millstreet Health Centre ,Claragh Road,Health Centre,,Claragh Road,Millstreet,Co. Cork,,P51 YY43,-9.06745106905385,52.0587918995932,
698,Milltown,Milltown,Health Centre,,Milltown,Tuam,Co. Galway.,,,-8.89676180462589,53.6110327546425,
699,Milltown,Milltown,Health Centre,,Bridge Street,Milltown,Co. Kerry,,,-9.7141897828852,52.1437404917867,
700,Miltown Malbay Resource Centre,,Health Centre,NULL,Ballard Road,Miltown Malbay,Co. Clare,,V95 R2EP,-9.39746608922876,52.8567439965966,
701,Mizen Primary Care Centre,,Health Centre,NULL,Ardmanagh Road,Schull,Co. Cork,,,-9.54775033847191,51.5278109886159,
702,Moate Health Centre,Moate,Health Centre,,The Newtown,Moate,Co. Westmeath,,N37 YV26,-7.71517791430552,53.3957164937606,
703,Mohill Primary Care Centre,Mohill,Health Centre,,Mohill Health Centre,Water Street,Mohill,Co. Leitrim,N41 RH96,-7.86544098396925,53.9234304275857,
704,Monasterevin,Monasterevin,Health Centre,,Cowpasture,Monasterevin,Co. Kildare,,W34 RX79,-7.05788238520647,53.1415791092168,
705,Moneygall Health Centre,,Health Centre,NULL,Main Street,Moneygall,Co. Offaly,,E53 FC92,-7.95896563743117,52.8794185003153,
