incident_id,date,year,time_band,longitude,latitude,constituency,constituency_slug,electoral_district,electoral_district_guid,incident_type,incident_count,fatality_count,serious_injury_count,non_serious_injury_count,casualty_count,cyclist_count,driver_count,e_scooter_other_count,motorcyclist_count,passenger_count,pedestrian_count
10995,2017-11-01,2017,12pm-3.59pm,-8.170388333,53.958046666,Roscommon-Galway,roscommon-galway,Oakport,2ae19629-19be-13a3-e055-000000000001,Serious,1,0,1,1,2,0,2,0,0,0,0
10996,2017-11-01,2017,4pm-7.59pm,-9.48188,52.443423333,Kerry,kerry,Listowel Urban,2ae19629-2252-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10997,2017-11-01,2017,8pm-11.59pm,-8.655096666,52.635825,Limerick City,limerick-city,Ballycummin,2ae19629-1768-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10998,2017-09-01,2017,8am-11.59am,-6.084891666,53.161451666,Wicklow,wicklow,Delgany,2ae19629-1ecf-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,1,0,0,1,0
10999,2017-11-01,2017,8pm-11.59pm,-6.350106666,54.068393333,Louth,louth,Ravensdale,2ae19629-191d-13a3-e055-000000000001,Non-serious,1,0,0,3,3,0,1,0,0,2,0
11000,2017-11-01,2017,4am-7.59am,-6.411078333,53.29536,Dublin Mid-West,dublin-mid-west,Tallaght-Fettercairn,2ae19629-1cb5-13a3-e055-000000000001,Serious,1,0,1,0,1,1,0,0,0,0,0
11001,2017-11-01,2017,4pm-7.59pm,-9.506681666,52.05021,Kerry,kerry,Killarney Urban,2ae19629-2293-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
11002,2017-11-01,2017,4pm-7.59pm,-6.24043,53.291365,Dublin Rathdown,dublin-rathdown,Dundrum-Kilmacud,2ae19629-1d5b-13a3-e055-000000000001,Serious,1,0,1,0,1,1,0,0,0,0,0
11003,2017-11-01,2017,4pm-7.59pm,-9.112311666,53.269603333,Galway West,galway-west,Barna,2ae19629-235c-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11004,2017-11-01,2017,4pm-7.59pm,-6.396731666,53.292138333,Dublin Mid-West,dublin-mid-west,Tallaght-Fettercairn,2ae19629-1cb5-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11005,2017-11-01,2017,4pm-7.59pm,-7.014973333,54.25896,Cavan-Monaghan,cavan-monaghan,Bellanode,2ae19629-1a7c-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
11006,2017-10-01,2017,4am-7.59am,-6.289185,53.291896666,Dublin South-West,dublin-south-west,Rathfarnham-St. Enda'S,2ae19629-1e03-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
11007,2017-11-01,2017,8pm-11.59pm,-6.194121666,53.531851666,Dublin Fingal West,dublin-fingal-west,Lusk,2ae19629-1ddf-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,1,0,0,1,0
11008,2017-11-01,2017,12am-3.59am,-8.851558333,51.79299,Cork North-West,cork-north-west,Murragh,2ae19629-210c-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11009,2017-11-01,2017,12am-3.59am,-6.356836666,53.307351666,Dublin South-West,dublin-south-west,Tallaght-Kilnamanagh,2ae19629-1cca-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11010,2017-11-01,2017,12am-3.59am,-6.237891666,53.26836,Dublin Rathdown,dublin-rathdown,Dundrum-Sandyford,2ae19629-1d5c-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
11011,2017-11-01,2017,8pm-11.59pm,-6.256518333,53.335613333,Dublin Bay South,dublin-bay-south,Mansion House B,2ae19629-1da0-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
11012,2017-10-01,2017,12am-3.59am,-6.264415,53.34414,Dublin Bay South,dublin-bay-south,Royal Exchange A,2ae19629-1dec-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
11013,2017-11-01,2017,8am-11.59am,-7.249861666,52.622678333,Carlow-Kilkenny,carlow-kilkenny,Outrath,2ae19629-23d1-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
11014,2017-11-01,2017,8pm-11.59pm,-6.25205,53.347401666,Dublin Bay South,dublin-bay-south,Mansion House A,2ae19629-1d9f-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,1,0
11015,2017-11-01,2017,12pm-3.59pm,-6.323653333,53.369533333,Dublin West,dublin-west,Ashtown A,2ae19629-1cf0-13a3-e055-000000000001,Serious,1,0,1,0,1,0,0,0,0,0,1
11016,2017-11-01,2017,4pm-7.59pm,-6.309735,53.454403333,Dublin Fingal West,dublin-fingal-west,Kilsallaghan,2ae19629-1dc5-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11017,2017-11-01,2017,4pm-7.59pm,-6.125473333,53.235013333,Dún Laoghaire,dun-laoghaire,Shankill-Rathsallagh,94b26e15-6ed2-44c2-a0b0-207c369a2da8,Non-serious,1,0,0,1,1,0,0,0,1,0,0
11018,2017-11-01,2017,4pm-7.59pm,-9.005438333,53.27663,Galway West,galway-west,Ballybaan,2ae19629-235a-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11019,2017-11-01,2017,4pm-7.59pm,-9.09284,52.932435,Clare,clare,Corrofin,2ae19629-1fb2-13a3-e055-000000000001,Non-serious,1,0,0,3,3,0,2,0,0,1,0
11020,2017-11-01,2017,12pm-3.59pm,-7.785953333,54.831593333,Donegal,donegal,Stranorlar,2ae19629-20bc-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11021,2017-11-01,2017,12pm-3.59pm,-7.217563333,52.504533333,Carlow-Kilkenny,carlow-kilkenny,Knocktopher,2ae19629-23c3-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
11022,2017-11-01,2017,4pm-7.59pm,-7.703105,51.998358333,Waterford,waterford,Glenwilliam,2ae19629-1b5f-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,1,0,0,1,0
